city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Bukovlje,45.1900,18.0700,Croatia,HR,Brodsko-Posavska Županija,minor,1982,1982
Punat,45.0147,14.6289,Croatia,HR,Primorsko-Goranska Županija,minor,1973,1973
Vođinci,45.2756,18.6097,Croatia,HR,Vukovarsko-Srijemska Županija,minor,1966,1966
Bogdanovci,45.3333,18.9333,Croatia,HR,Vukovarsko-Srijemska Županija,minor,1960,1960
Drenovci,44.9200,18.8500,Croatia,HR,Vukovarsko-Srijemska Županija,minor,1946,1946
Farkaševac,45.8806,16.6358,Croatia,HR,Zagrebačka Županija,minor,1937,1937
Vis,43.0667,16.1833,Croatia,HR,Splitsko-Dalmatinska Županija,minor,1934,1934
Tučepi,43.2667,17.0500,Croatia,HR,Splitsko-Dalmatinska Županija,minor,1931,1931
Pirovac,43.8167,15.6667,Croatia,HR,Šibensko-Kninska Županija,minor,1930,1930
Gornja Vrba,45.1500,18.0667,Croatia,HR,Brodsko-Posavska Županija,minor,1913,1913
Jakšić,45.3600,17.7600,Croatia,HR,Požeško-Slavonska Županija,minor,1877,1877
Drnje,46.2100,16.9200,Croatia,HR,Koprivničko-Križevačka Županija,minor,1863,1863
Selca,43.2950,16.8470,Croatia,HR,Splitsko-Dalmatinska Županija,minor,1804,1804
Sikirevci,45.1167,18.4667,Croatia,HR,Brodsko-Posavska Županija,minor,1781,1781
Brela,43.3697,16.9225,Croatia,HR,Splitsko-Dalmatinska Županija,minor,1771,1771
Varaždinske Toplice,46.2081,16.4214,Croatia,HR,Varaždinska Županija,minor,1765,1765
Velika Kopanica,45.1500,18.4000,Croatia,HR,Brodsko-Posavska Županija,minor,1762,1762
Vrpolje,45.2106,18.4056,Croatia,HR,Brodsko-Posavska Županija,minor,1759,1759
Tinjan,45.2172,13.8389,Croatia,HR,Istarska Županija,minor,1684,1684
Preseka,45.9667,16.3833,Croatia,HR,Zagrebačka Županija,minor,1670,1670
Bol,43.2667,16.6500,Croatia,HR,Splitsko-Dalmatinska Županija,minor,1630,1630
Brtonigla,45.3833,13.6333,Croatia,HR,Istarska Županija,minor,1626,1626
Feričanci,45.5300,17.9800,Croatia,HR,Osječko-Baranjska Županija,minor,1626,1626
Cernik,45.2900,17.3800,Croatia,HR,Brodsko-Posavska Županija,minor,1607,1607
Brodski Stupnik,45.1667,17.8000,Croatia,HR,Brodsko-Posavska Županija,minor,1586,1586
Breznički Hum,46.1044,16.2806,Croatia,HR,Varaždinska Županija,minor,1575,1575
Staro Petrovo Selo,45.2333,17.5167,Croatia,HR,Brodsko-Posavska Županija,minor,1572,1572
Bakar,45.3278,14.5361,Croatia,HR,Primorsko-Goranska Županija,minor,1566,1566
Postire,43.3833,16.6333,Croatia,HR,Splitsko-Dalmatinska Županija,minor,1559,1559
Kanfanar,45.1167,13.8333,Croatia,HR,Istarska Županija,minor,1543,1543
Tribunj,43.7700,15.9169,Croatia,HR,Šibensko-Kninska Županija,minor,1536,1536
Mošćenička Draga,45.2333,14.2500,Croatia,HR,Primorsko-Goranska Županija,minor,1535,1535
Ðelekovec,46.2500,16.8700,Croatia,HR,Koprivničko-Križevačka Županija,minor,1533,1533
Komiža,43.0500,16.1000,Croatia,HR,Splitsko-Dalmatinska Županija,minor,1526,1526
